A,Element,Z,N,Parent E(level),Uncertainty,JPi,Decay Mode,Decay Mode Value,Decay Mode Uncertainty,Q Value,Q Value Uncertainty,T1/2 (txt),T1/2 (sec),Gammas Balance,X-Rays Balance,B- Balance,B+ Balance,Conversion Electrons Balance,Auger Electrons Balance,Neutrinos Balance,Recoil Balance,Neutrons Balance, Protons Balance,Alphas Balance,Sum Balance,Q-effective Balance,Missing Energy Balance,Ratio Balance,Daughter,Radiation,Rad subtype,Rad Energy,Uncertainty, EP Energy,Uncertainty,Rad Intensity,Uncertainty,Dose,Uncertainty
114,Tc,43,71,0+X,,(|>4),B-,100,,11785,12,100 MS 20,0.1,1.07E+3 7,0,0,0,0,0,0,0,0,0,0,1.07E+3 7,11784 12,1.071E+4 7,90.9 % 6,114Ru,g,,227.6,3,,,7,3,0.016,6
114,Tc,43,71,0+X,,(|>4),B-,100,,11785,12,100 MS 20,0.1,1.07E+3 7,0,0,0,0,0,0,0,0,0,0,1.07E+3 7,11784 12,1.071E+4 7,90.9 % 6,114Ru,g,,265.1,2,,,81,8,0.214,21
114,Tc,43,71,0+X,,(|>4),B-,100,,11785,12,100 MS 20,0.1,1.07E+3 7,0,0,0,0,0,0,0,0,0,0,1.07E+3 7,11784 12,1.071E+4 7,90.9 % 6,114Ru,g,,265.1,2,,,19,8,0.051,22
114,Tc,43,71,0+X,,(|>4),B-,100,,11785,12,100 MS 20,0.1,1.07E+3 7,0,0,0,0,0,0,0,0,0,0,1.07E+3 7,11784 12,1.071E+4 7,90.9 % 6,114Ru,g,,298.0,2,,,19,3,0.057,9
114,Tc,43,71,0+X,,(|>4),B-,100,,11785,12,100 MS 20,0.1,1.07E+3 7,0,0,0,0,0,0,0,0,0,0,1.07E+3 7,11784 12,1.071E+4 7,90.9 % 6,114Ru,g,,443.0,2,,,40,5,0.176,22
114,Tc,43,71,0+X,,(|>4),B-,100,,11785,12,100 MS 20,0.1,1.07E+3 7,0,0,0,0,0,0,0,0,0,0,1.07E+3 7,11784 12,1.071E+4 7,90.9 % 6,114Ru,g,,518.7,5,,,12,3,0.064,15
114,Tc,43,71,0+X,,(|>4),B-,100,,11785,12,100 MS 20,0.1,1.07E+3 7,0,0,0,0,0,0,0,0,0,0,1.07E+3 7,11784 12,1.071E+4 7,90.9 % 6,114Ru,g,,544.0,2,,,14,3,0.075,16
114,Tc,43,71,0+X,,(|>4),B-,100,,11785,12,100 MS 20,0.1,1.07E+3 7,0,0,0,0,0,0,0,0,0,0,1.07E+3 7,11784 12,1.071E+4 7,90.9 % 6,114Ru,g,,563.4,2,,,7,3,0.039,16
114,Tc,43,71,0+X,,(|>4),B-,100,,11785,12,100 MS 20,0.1,1.07E+3 7,0,0,0,0,0,0,0,0,0,0,1.07E+3 7,11784 12,1.071E+4 7,90.9 % 6,114Ru,g,,563.4,2,,,32,6,0.18,3
114,Tc,43,71,0+X,,(|>4),B-,100,,11785,12,100 MS 20,0.1,1.07E+3 7,0,0,0,0,0,0,0,0,0,0,1.07E+3 7,11784 12,1.071E+4 7,90.9 % 6,114Ru,g,,590.6,2,,,14,3,0.081,17
114,Tc,43,71,0+X,,(|>4),B-,100,,11785,12,100 MS 20,0.1,1.07E+3 7,0,0,0,0,0,0,0,0,0,0,1.07E+3 7,11784 12,1.071E+4 7,90.9 % 6,114Ru,g,,773.9,5,,,3,3,0.021,21
114,Tc,43,71,0+X,,(|>4),B-,100,,11785,12,100 MS 20,0.1,1.07E+3 7,0,0,0,0,0,0,0,0,0,0,1.07E+3 7,11784 12,1.071E+4 7,90.9 % 6,114Ru,g,,870.3,5,,,5,3,0.048,24
114,Tc,43,71,0+X,,(|>4),B-,100,,11785,12,100 MS 20,0.1,1.07E+3 7,0,0,0,0,0,0,0,0,0,0,1.07E+3 7,11784 12,1.071E+4 7,90.9 % 6,114Ru,g,,1360.5,9,,,4.1,14,0.056,19
