A,Element,Z,N,Parent E(level),Uncertainty,JPi,Decay Mode,Decay Mode Value,Decay Mode Uncertainty,Q Value,Q Value Uncertainty,T1/2 (txt),T1/2 (sec),Gammas Balance,X-Rays Balance,B- Balance,B+ Balance,Conversion Electrons Balance,Auger Electrons Balance,Neutrinos Balance,Recoil Balance,Neutrons Balance, Protons Balance,Alphas Balance,Sum Balance,Q-effective Balance,Missing Energy Balance,Ratio Balance,Daughter,Radiation,Rad subtype,Rad Energy,Uncertainty, EP Energy,Uncertainty,Rad Intensity,Uncertainty,Dose,Uncertainty
146,Dy,66,80,0.0,,0+,EC,100,,5210,50,33.2 S 7,33.2,1.70E+3 6,20.2 5,0,7.7E+2 10,12.836,3.01 10,2.72E+3 14,0,0,0,0,5.23E+3 18,5.21E+3 5,0 AP,0 % AP,146Tb,g,XR l,6.27,,,,8.7,5,5.5E-4,3
146,Dy,66,80,0.0,,0+,EC,100,,5210,50,33.2 S 7,33.2,1.70E+3 6,20.2 5,0,7.7E+2 10,12.836,3.01 10,2.72E+3 14,0,0,0,0,5.23E+3 18,5.21E+3 5,0 AP,0 % AP,146Tb,g,XR ka2,43.744,,,,12.6,5,0.00550,22
146,Dy,66,80,0.0,,0+,EC,100,,5210,50,33.2 S 7,33.2,1.70E+3 6,20.2 5,0,7.7E+2 10,12.836,3.01 10,2.72E+3 14,0,0,0,0,5.23E+3 18,5.21E+3 5,0 AP,0 % AP,146Tb,g,XR ka1,44.482,,,,22.4,9,0.0100,4
146,Dy,66,80,0.0,,0+,EC,100,,5210,50,33.2 S 7,33.2,1.70E+3 6,20.2 5,0,7.7E+2 10,12.836,3.01 10,2.72E+3 14,0,0,0,0,5.23E+3 18,5.21E+3 5,0 AP,0 % AP,146Tb,g,XR kb3,50.228,,,,2.30,9,0.00116,4
146,Dy,66,80,0.0,,0+,EC,100,,5210,50,33.2 S 7,33.2,1.70E+3 6,20.2 5,0,7.7E+2 10,12.836,3.01 10,2.72E+3 14,0,0,0,0,5.23E+3 18,5.21E+3 5,0 AP,0 % AP,146Tb,g,XR kb1,50.384,,,,4.45,18,0.00224,9
146,Dy,66,80,0.0,,0+,EC,100,,5210,50,33.2 S 7,33.2,1.70E+3 6,20.2 5,0,7.7E+2 10,12.836,3.01 10,2.72E+3 14,0,0,0,0,5.23E+3 18,5.21E+3 5,0 AP,0 % AP,146Tb,g,XR kb2,51.698,,,,1.48,6,7.7E-4,3
146,Dy,66,80,0.0,,0+,EC,100,,5210,50,33.2 S 7,33.2,1.70E+3 6,20.2 5,0,7.7E+2 10,12.836,3.01 10,2.72E+3 14,0,0,0,0,5.23E+3 18,5.21E+3 5,0 AP,0 % AP,146Tb,g,,74.7,2,,,0.269,,2.01E-4,
146,Dy,66,80,0.0,,0+,EC,100,,5210,50,33.2 S 7,33.2,1.70E+3 6,20.2 5,0,7.7E+2 10,12.836,3.01 10,2.72E+3 14,0,0,0,0,5.23E+3 18,5.21E+3 5,0 AP,0 % AP,146Tb,g,,113.7,2,,,1.07,,0.0012166,
146,Dy,66,80,0.0,,0+,EC,100,,5210,50,33.2 S 7,33.2,1.70E+3 6,20.2 5,0,7.7E+2 10,12.836,3.01 10,2.72E+3 14,0,0,0,0,5.23E+3 18,5.21E+3 5,0 AP,0 % AP,146Tb,g,,117.8,2,,,1.25,,0.001473,
146,Dy,66,80,0.0,,0+,EC,100,,5210,50,33.2 S 7,33.2,1.70E+3 6,20.2 5,0,7.7E+2 10,12.836,3.01 10,2.72E+3 14,0,0,0,0,5.23E+3 18,5.21E+3 5,0 AP,0 % AP,146Tb,g,,143.5,2,,,0.42,,6.027E-4,
